"station","param","trend_in_log","ciLow_trend","ciHigh_trend","p_trend","trend_multiplicative","trend_pctPerYear","ciLow_pctPerYear","ciHigh_pctPerYear"
"rkbmbnut","no23f_mdl",-0.0607374498465778,-0.0817613208141692,-0.0397135788789863,4.82861713909858e-08,0.9411,-5.89,-7.85,-3.89
"sapcanut","no23f_mdl",0.0275522774822582,0.0018455372208877,0.0532590177436286,0.0371547018049931,1.0279,2.79,0.180000000000002,5.47
"sapdcnut","no23f_mdl",0.00482572733438481,-0.0255243253818024,0.035175780050572,0.755702508350291,1.0048,0.479999999999992,-2.52,3.58000000000001
"saphdnut","no23f_mdl",0.0122385382157264,-0.00742931362159771,0.0319063900530506,0.224068571960753,1.0123,1.23,-0.739999999999996,3.24
"sapldnut","no23f_mdl",-0.0117864733474454,-0.0373752486763186,0.0138023019814278,0.367746075243248,0.9883,-1.17,-3.67,1.39
"sfbccnut","no23f_mdl",-0.00953128172395624,-0.0614100921266023,0.0423475286786898,0.720809141270419,0.9905,-0.949999999999995,-5.96,4.32999999999999
"sfbfmnut","no23f_mdl",,,,,,,,
"sfbgcnut","no23f_mdl",-0.0673036333798089,-0.120881449459662,-0.0137258172999559,0.0189475256491547,0.9349,-6.51000000000001,-11.39,-1.35999999999999
"sfbsmnut","no23f_mdl",-0.010714098110555,-0.0783433338840298,0.0569151376629199,0.75858120781679,0.9893,-1.07,-7.54,5.86
"soschnut","no23f_mdl",0.00261028109045724,-0.0190590120413624,0.0242795742222769,0.813724540355638,1.0026,0.259999999999994,-1.89,2.46
"sosvanut","no23f_mdl",0.0126146976408367,-0.0102971090295115,0.0355265043111849,0.282526713237009,1.0127,1.26999999999999,-1.02,3.62
"soswinut","no23f_mdl",0.00820901025599082,-0.0115141682856406,0.0279321887976223,0.416115069472813,1.0082,0.819999999999999,-1.14,2.83
"tjrbrnut","no23f_mdl",-0.0120912384362969,-0.0469794800492351,0.0227970031766413,0.497832999843433,0.988,-1.2,-4.59000000000001,2.30999999999999
"tjrosnut","no23f_mdl",-0.0235297123167014,-0.0575060594507504,0.0104466348173477,0.176209942685359,0.9767,-2.33,-5.58999999999999,1.05
"tjrprnut","no23f_mdl",-0.0449746716698123,-0.123347786745076,0.0333984434054511,0.263125300043605,0.956,-4.4,-11.6,3.4
"tjrsbnut","no23f_mdl",-0.0923153184985507,-0.140425421855198,-0.044205215141903,0.000240017363863549,0.9118,-8.81999999999999,-13.1,-4.32
"welhtnut","no23f_mdl",0.0397809325554221,0.0162361893962648,0.0633256757145793,0.00119307812656597,1.0406,4.06,1.64,6.53999999999999
"welinnut","no23f_mdl",0.080492526256219,0.0488225088548892,0.112162543657549,1.45138400972771e-06,1.0838,8.38000000000001,5,11.87
"wellmnut","no23f_mdl",0.0318067567589002,-0.0143972302778279,0.0780107437956283,0.179615945831431,1.0323,3.23,-1.43,8.11
"welsmnut","no23f_mdl",0.0235961161282695,0.00452161431379652,0.0426706179427425,0.0168412540954342,1.0239,2.39,0.449999999999995,4.36000000000001
"wkbfrnut","no23f_mdl",0.0256573433353915,0.00280044749028839,0.0485142391804946,0.0288558607205682,1.026,2.6,0.279999999999991,4.97000000000001
"wkbmbnut","no23f_mdl",0.0489349678113185,0.0171990888836712,0.0806708467389659,0.0028109641376975,1.0502,5.02,1.73000000000001,8.40000000000001
"wkbmrnut","no23f_mdl",0.0121676834839173,-0.014441482612521,0.0387768495803555,0.3711191936025,1.0122,1.22,-1.43,3.95000000000001
"wkbwbnut","no23f_mdl",0.0356566999745175,0.0031389834658831,0.0681744164831518,0.032753166023616,1.0363,3.63,0.31000000000001,7.06
"wqbcrnut","no23f_mdl",0.0123095912563544,-0.03248101127962,0.0571001937923287,0.59122187987133,1.0124,1.24,-3.2,5.88
"wqbmhnut","no23f_mdl",-0.0214448883766775,-0.0611184682798639,0.018228691526509,0.291543319698597,0.9788,-2.12,-5.93,1.84
"wqbmpnut","no23f_mdl",0.0541713754162519,-0.00118910331839489,0.109531854150899,0.0582111700713049,1.0557,5.57000000000001,-0.119999999999998,11.58
"wqbslnut","no23f_mdl",0.0475817004695958,-0.0100789168388111,0.105242317778003,0.109080574397323,1.0487,4.87,-1,11.1
"acefcnut","nh4f_mdl",0.0534425361701934,0.0291780148842974,0.0777070574560895,2.3448627220844e-05,1.0549,5.48999999999999,2.96000000000001,8.08
