name,gridcode,FREQUENCY,SUM_Shape_
Coos,23,3591,14935634.58720000000
Coos,24,1120,6895745.31813000000
Coos,31,1876,40645400.33030000000
Coos,41,6656,16472658.00780000000
Coos,42,14913,1081099180.63000000000
Coos,43,32353,267309950.57000000000
Coos,52,8005,137280343.04500000000
Coos,71,4692,73697954.15040000000
Coos,81,786,3866079.79703000000
Coos,82,1,4500.00000020000
Coos,90,3684,20323777.55230000000
Coos,95,3456,79698645.94520000000
Cottonwood-Tijuana,11,265,3732979.68980000000
Cottonwood-Tijuana,21,5573,55215943.23120000000
Cottonwood-Tijuana,22,5374,11339808.39840000000
Cottonwood-Tijuana,23,2191,9820429.77448000000
Cottonwood-Tijuana,24,1235,8974875.88806000000
Cottonwood-Tijuana,31,178,1285476.36795000000
Cottonwood-Tijuana,41,9,12064.74609390000
Cottonwood-Tijuana,42,2123,53291160.15240000000
Cottonwood-Tijuana,43,3442,34156614.74990000000
Cottonwood-Tijuana,52,5528,710279803.83900000000
Cottonwood-Tijuana,71,4677,114699608.71400000000
Cottonwood-Tijuana,81,180,2516743.83774000000
Cottonwood-Tijuana,82,55,601840.15960900000
Cottonwood-Tijuana,90,1119,12496148.60920000000
Cottonwood-Tijuana,95,1014,18106245.84730000000
Daytona-St. Augustine,0,56,15720751.26340000000
Daytona-St. Augustine,11,3896,861563642.87100000000
Daytona-St. Augustine,21,32590,173879287.34400000000
Daytona-St. Augustine,22,35819,216848962.65600000000
Daytona-St. Augustine,23,27945,126047104.01900000000
Daytona-St. Augustine,24,8262,30636855.12090000000
Daytona-St. Augustine,31,2184,18324300.94300000000
Daytona-St. Augustine,41,2399,5191379.29687000000
Daytona-St. Augustine,42,17834,383087718.92400000000
Daytona-St. Augustine,43,2761,7665739.75524000000
Daytona-St. Augustine,52,7923,58247625.55850000000
Daytona-St. Augustine,71,5580,34082429.72720000000
Daytona-St. Augustine,81,3303,33455592.93820000000
Daytona-St. Augustine,82,9,47225.22583080000
Daytona-St. Augustine,90,13389,436626185.53200000000
Daytona-St. Augustine,95,11428,144605634.21900000000
East San Antonio Bay,0,171,3582315.17029000000
East San Antonio Bay,11,2817,1491140603.18000000000
East San Antonio Bay,21,3220,11524586.57230000000
East San Antonio Bay,22,3444,9089433.92944000000
East San Antonio Bay,23,2027,5740642.72157000000
East San Antonio Bay,24,486,2483850.28382000000
East San Antonio Bay,31,1772,11996979.18090000000
East San Antonio Bay,41,569,1790288.47046000000
East San Antonio Bay,42,515,1993639.71863000000
East San Antonio Bay,43,746,4883522.16797000000
East San Antonio Bay,52,2282,19500965.93630000000
East San Antonio Bay,71,2540,77044739.55690000000
East San Antonio Bay,81,2750,101035433.38600000000
East San Antonio Bay,82,191,20878414.72780000000
East San Antonio Bay,90,2486,16818154.32130000000
East San Antonio Bay,95,5503,266888478.73500000000
Edisto River,0,9,5383335.16846000000
Edisto River,11,5498,525637588.67800000000
Edisto River,21,17716,92291343.33800000000
Edisto River,22,12058,25226519.54040000000
Edisto River,23,3186,6254269.46412000000
Edisto River,24,524,1360626.77307000000
Edisto River,31,782,6262442.00134000000
Edisto River,41,6778,23544052.45970000000
Edisto River,42,21424,635430059.33500000000
Edisto River,43,3752,11795988.42770000000
Edisto River,52,8194,88581708.90200000000
Edisto River,71,5215,58283293.02980000000
Edisto River,81,6847,62049910.11660000000
Edisto River,82,4018,201511628.88800000000
Edisto River,90,16480,763086339.34900000000
Edisto River,95,9166,280169681.45100000000
Gunpowder-Patapsco,11,1861,326202867.55400000000
Gunpowder-Patapsco,21,86415,523565961.13600000000
Gunpowder-Patapsco,22,83588,383475258.35300000000
Gunpowder-Patapsco,23,52173,273623582.45500000000
Gunpowder-Patapsco,24,15580,138890171.47500000000
Gunpowder-Patapsco,31,1508,6761632.76368000000
Gunpowder-Patapsco,41,29255,924024123.68800000000
Gunpowder-Patapsco,42,2083,14659026.14140000000
Gunpowder-Patapsco,43,31668,140192899.83200000000
Gunpowder-Patapsco,52,4029,13750966.04920000000
Gunpowder-Patapsco,71,2997,12766358.96300000000
Gunpowder-Patapsco,81,23658,429393342.01400000000
Gunpowder-Patapsco,82,5054,313106992.24500000000
Gunpowder-Patapsco,90,7445,110916818.15200000000
Gunpowder-Patapsco,95,4521,39176944.46410000000
Hudson-Wappinger,11,1707,109468079.73600000000
Hudson-Wappinger,21,55008,200673013.18400000000
Hudson-Wappinger,22,60688,160570221.07500000000
Hudson-Wappinger,23,33486,114426239.58400000000
Hudson-Wappinger,24,7243,39726514.73690000000
Hudson-Wappinger,31,1428,7803717.68188000000
Hudson-Wappinger,41,20017,1347704870.39000000000
Hudson-Wappinger,42,2389,11723101.47400000000
Hudson-Wappinger,43,11085,44493847.20150000000
Hudson-Wappinger,52,2438,11103634.86330000000
Hudson-Wappinger,71,3477,13783726.31840000000
Hudson-Wappinger,81,17175,278870068.84500000000
Hudson-Wappinger,82,497,17923901.35800000000
Hudson-Wappinger,90,11292,205912440.52700000000
Hudson-Wappinger,95,4808,18692404.76070000000
Huron-Vermilion,11,1437,11231470.47270000000
Huron-Vermilion,21,29079,75925478.84220000000
Huron-Vermilion,22,25754,68404184.15680000000
Huron-Vermilion,23,12206,28812495.35520000000
Huron-Vermilion,24,2226,10137100.45170000000
Huron-Vermilion,31,650,3011493.71339000000
Huron-Vermilion,41,8902,335500350.66400000000
Huron-Vermilion,42,445,2199035.79712000000
Huron-Vermilion,43,7776,26979009.80990000000
Huron-Vermilion,52,531,3068834.64202000000
Huron-Vermilion,71,1598,6227494.06586000000
Huron-Vermilion,81,9731,145234117.77600000000
Huron-Vermilion,82,3962,1217820420.79000000000
Huron-Vermilion,90,5079,32192494.34050000000
Huron-Vermilion,95,1095,9830616.90216000000
Lower Cape Fear,0,9,2525399.28589000000
Lower Cape Fear,11,3000,46930360.63840000000
Lower Cape Fear,21,33610,122571692.19400000000
Lower Cape Fear,22,28131,90291076.03450000000
Lower Cape Fear,23,13239,45955005.55120000000
Lower Cape Fear,24,3084,11844547.75080000000
