Map.code,code,cluster,SpCond,Temp,DO,pH,Turb,Chla,NH4,NO23,PO4,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
lks,lksbl,A,0.19,16.6,8.9,7.7,0.903089987,0.673941999,-0.901356274,-0.669079169,-2.15490196,1.819040574,-0.980251264,-0.343579104,-0.172538747,-1.177519631,0.257716956,-0.575045213,0.999066841,0.170160492
lks,lksol,A,0.19,18.4,8.7,7.7,0.84509804,0.58546073,-1.715569266,-1.148741651,-2.217578138,0.757812374,-0.836351336,-1.390553966,-0.003583353,0.180441223,0.473480942,-0.13645961,0.771134493,0.117311507
lks,lkspo,A,0.22,17.1,6.2,7.4,1.740362689,0.666283923,-1.688246139,-1.633577043,-1.756961951,1.691833076,0.939962335,-0.369709511,0.331276883,1.401894098,0.652021155,-0.599343786,-0.236340899,0.982687413
mar,marab,B,45.39,24.3,7,8.2,0.954242509,0.748188027,-2.54515514,-2.944124839,-1.758204569,-2.496960039,1.076493164,-1.025403734,-1.131473983,1.702431835,0.412127527,0.012571785,0.030986224,-0.013331716
mar,marce,B,37.3475,25.1,7.1,8.1,1.041392685,0.774516966,-2.387216143,-2.864963408,-1.391473966,-1.915364366,1.183308385,-0.615774065,-1.054692686,1.896884814,0.506360948,-0.074592086,0.462169133,-0.19995387
mar,marcw,B,32.82,24.2,7.2,8.1,1.278753601,0.785329835,-2.59345982,-3.011473516,-1.384576047,-1.773638274,1.227651215,-0.90526808,-1.214227839,2.499566656,0.691654327,-0.299429785,0.244715948,-0.011122749
mar,marmb,B,40.85,24.4,7.1,8.2,1.230448921,0.788875116,-2.560667306,-2.897677622,-1.647817482,-2.071502466,1.2531569,-1.005907214,-1.354991775,2.018646882,0.686251888,-0.227318053,-0.061305348,-0.013026639
mar,marsc,B,48.855,24.55,6.7,8.2,0.84509804,0.612783857,-2.468521083,-2.859274195,-2.197226275,-2.732264207,1.070661809,-1.290641635,-0.734794314,1.06611377,0.440969553,0.025593597,-0.232982224,0.091944543
nar,narnc,C,44.27,15.4,7.1,7.5,0.301029996,0.224014811,-1.691435586,-2.354490626,-1.530177984,-1.420090324,-0.747446098,0.565313573,1.064040548,0.54205635,-0.926027694,-0.005834937,0.196441493,0.175460519
nar,narpc,C,45.22,11.9,8.7,7.9,0,0.400969479,-1.838631998,-2.22184875,-1.59345982,-1.90543038,-2.009407074,0.150023571,-0.102928576,0.361249726,-1.105095804,0.110245882,0.532650128,0.3095574
nar,nartb,C,47.405,11.4,8.5,8,0,0.273348569,-1.922632095,-2.307984823,-1.689837935,-2.267793177,-2.092717,0.088100146,-0.03504519,0.370422707,-0.878426006,0.061902326,0.339719208,0.5117108
nar,narts,C,46.73,12.2,8.55,8,0,0.25163822,-2.088842391,-2.398333962,-1.729321164,-2.46471034,-2.045525653,-0.195741784,-0.004462874,0.627743622,-0.790912366,0.114252355,0.32018928,0.433993089
niw,niwcb,D,51.85,20.8,6.2,7.7,1,0.688864568,-1.300379042,-2.15490196,-1.87874117,-0.683443875,1.162340224,0.653780976,-0.057497796,-0.353526557,-0.459322567,-0.418269049,-0.344534481,0.055553845
niw,niwdc,D,51.25,21.05,6.35,7.7,0.954242509,0.739374533,-1.330683119,-2.21944268,-1.903089987,-0.736538637,1.154376049,0.52012914,-0.127362083,-0.32927855,-0.56563188,-0.397209881,-0.234945758,0.012986527
niw,niwol,D,51.785,21.4,5.9,7.6,1.041392685,0.859588577,-1.287139935,-2.237508996,-1.820663686,-0.482508163,1.568033174,0.689415086,-0.113450418,-0.230098419,-0.744538997,-0.302197028,-0.302097541,0.049801492
niw,niwta,A,11.63,20.6,6.8,7.1,1.477121255,0.898450919,-1.022047879,-0.86922412,-1.44279366,2.51515208,1.06274549,0.625818557,0.382252183,0.186182961,-0.125325544,-0.232405107,0.21696017,-0.344778457
noc,nocec,D,35.4275,20.4,7.4,7.8,1,0.85308953,-1.308918508,-1.042153366,-1.801342913,0.380002492,0.329295942,0.259435746,-0.70683194,-0.510767631,0.051652629,0.104339355,0.03095457,-0.279823797
noc,noclc,B,50.585,20.6,7.2,8,0.698970004,0.391816924,-1.443697499,-3.038541174,-2.522878745,-2.0265884,0.527736934,-0.35383854,0.071721907,-0.723643003,-0.362223477,-1.215624561,0.031709136,0.366774905
noc,nocrc,B,48.045,20.7,7,7.9,0.77815125,0.544068044,-1.42078822,-2.783300472,-2.48148606,-1.538113156,0.73647864,-0.343795572,-0.009195999,-0.678748307,-0.467761791,-0.975384451,-0.03205795,0.334135025
noc,noczb,D,35.5,20.75,6.7,7.7,1.176091259,0.966610987,-1.273272791,-1.185086819,-1.581698709,0.65081901,0.925504638,0.616761901,-0.690990095,-0.18884552,-0.051509037,0.123276677,-0.04187874,-0.148139986
owc,owcbr,A,0.65,14.9,8.1,7.8,1,0.247973266,-1.522878745,0.361586195,-1.649025534,1.611963195,-1.706724294,-0.06223044,0.124944983,-0.038513385,1.57767926,0.573230829,0.119783324,0.175028222
owc,owcdr,A,0.63,15.7,6.7,7.6,1.230448921,0.564073979,-1.443697499,0.269921363,-1.795880017,2.158445993,-0.522797001,-0.04989276,0.188024119,-0.04135484,1.17897686,0.795449518,-0.210568117,0.562460258
owc,owcol,A,0.5,16.8,7.85,7.7,1.477121255,1.239424618,-1.133712661,0.082695631,-2.033858267,2.891716316,0.046634844,-0.421240497,-1.271165135,-0.595432812,0.468891729,0.203153692,0.133038655,0.362853058
