FID_1,station,lon,lat,FID_2,objectid,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc8,name,globalid,shape_Leng,shape_Area
138,SFBGC,-122.50850000000,38.01590000000,18,894,{E67739F5-92F6-49B0-A017-F4A0372DD4F9},{1FF46025-874C-4D4B-BD40-702A6B62DC21},,U.S. Geological Survey,,3/16/2022,,784702.12000000000,3175.58000000000,CA,18050002,San Pablo Bay,{4F390571-E964-4880-B8CD-19EF3922186A},4.06255923116,0.32654735406
139,SFBRB,-122.48756300000,37.87668900000,18,894,{E67739F5-92F6-49B0-A017-F4A0372DD4F9},{1FF46025-874C-4D4B-BD40-702A6B62DC21},,U.S. Geological Survey,,3/16/2022,,784702.12000000000,3175.58000000000,CA,18050002,San Pablo Bay,{4F390571-E964-4880-B8CD-19EF3922186A},4.06255923116,0.32654735406
33,ELKAP,-121.75380000000,36.84570000000,19,906,{4A8B2BF7-7263-444C-93D6-F0777992344C},,,,,6/11/2012,,484626.57000000000,1961.22000000000,CA,18060015,Monterey Bay,{99537CE4-470B-4FE7-9577-6E7F40E207C9},3.43778509238,0.19819904156
34,ELKNM,-121.73840000000,36.83460000000,19,906,{4A8B2BF7-7263-444C-93D6-F0777992344C},,,,,6/11/2012,,484626.57000000000,1961.22000000000,CA,18060015,Monterey Bay,{99537CE4-470B-4FE7-9577-6E7F40E207C9},3.43778509238,0.19819904156
35,ELKSM,-121.73940000000,36.81790000000,19,906,{4A8B2BF7-7263-444C-93D6-F0777992344C},,,,,6/11/2012,,484626.57000000000,1961.22000000000,CA,18060015,Monterey Bay,{99537CE4-470B-4FE7-9577-6E7F40E207C9},3.43778509238,0.19819904156
36,ELKVM,-121.77920000000,36.81110000000,19,906,{4A8B2BF7-7263-444C-93D6-F0777992344C},,,,,6/11/2012,,484626.57000000000,1961.22000000000,CA,18060015,Monterey Bay,{99537CE4-470B-4FE7-9577-6E7F40E207C9},3.43778509238,0.19819904156
72,KACBC,-151.10940000000,59.70567000000,20,1123,{3CF8C598-032D-4540-95DB-032D8E1ED2E9},,,,,4/24/2019,,1864616.99000000000,7545.84000000000,AK,19020301,Lower Kenai Peninsula,{A7CE77FE-3735-4FE6-9536-527C6A382E30},9.70852334523,1.20856086938
73,KACDL,-151.41000000000,59.60232000000,20,1123,{3CF8C598-032D-4540-95DB-032D8E1ED2E9},,,,,4/24/2019,,1864616.99000000000,7545.84000000000,AK,19020301,Lower Kenai Peninsula,{A7CE77FE-3735-4FE6-9536-527C6A382E30},9.70852334523,1.20856086938
74,KACH3,-151.40942000000,59.60205000000,20,1123,{3CF8C598-032D-4540-95DB-032D8E1ED2E9},,,,,4/24/2019,,1864616.99000000000,7545.84000000000,AK,19020301,Lower Kenai Peninsula,{A7CE77FE-3735-4FE6-9536-527C6A382E30},9.70852334523,1.20856086938
75,KACHD,-151.40878000000,59.60201000000,20,1123,{3CF8C598-032D-4540-95DB-032D8E1ED2E9},,,,,4/24/2019,,1864616.99000000000,7545.84000000000,AK,19020301,Lower Kenai Peninsula,{A7CE77FE-3735-4FE6-9536-527C6A382E30},9.70852334523,1.20856086938
