"station","param","p_0","p_5","p_10","p_25","p_50","p_75","p_90","p_95","p_100"
"jacb5","po4f",,0.003,0.00411427544624486,0.009,0.021,0.028,0.04134,0.0463,
"jacb6","chla",,1.505,1.945,2.85,4.595,8.855,12.54,14.6425,
"jacb6","nh4f",,0.00136701469007846,0.0020341431181066,0.004,0.0155,0.0420125,0.06415,0.086875,
"jacb6","no23f",,0.000765582103191731,0.00117374166877756,0.00262214464067816,0.00600478518493642,0.02025,0.052,0.063585,
"jacb6","po4f",,0.00410774014784223,0.006,0.010375,0.0235,0.032875,0.04485,0.054425,
"jacb9","chla",,1.4575,2.064,3.0325,5.305,8.8625,13.53,16.4345,
"jacb9","nh4f",,0.000940382116169157,0.00134366938040982,0.0035,0.015,0.05,0.08,0.1024,
"jacb9","no23f",,0.00142196355259827,0.00209479477752826,0.004,0.00865680746117485,0.034,0.0586,0.0732,
"jacb9","po4f",,0.003,0.0044345737647736,0.01075,0.02415,0.0392,0.0587,0.0699,
"jacba","chla",,0.2775,0.455,1.1525,2.595,6.52,13.16,17.0825,
"jacba","nh4f",,0.0034672841970522,0.00457369583121187,0.0065,0.014,0.024,0.0348,0.0437,
"jacba","no23f",,0.0125500087783227,0.018211617729201,0.07,0.1205,0.2065,0.3169,0.3999,
"jacba","po4f",,0.00118484265193608,0.00160610035404767,0.003,0.006,0.0095,0.0135,0.0225999999999999,
"jacne","chla",,0.83025,1.431,2.3925,4.0625,5.86125,8.315,11.15475,
"jacne","nh4f",,0.0106433785410315,0.0138,0.0241,0.04,0.050975,0.0701,0.0862999999999999,
"jacne","no23f",,0.0132,0.02,0.03315,0.05,0.07,0.0964,0.1242,
"jacne","po4f",,0.003,0.004,0.009,0.018,0.0295,0.0435,0.0635,
"job09","chla",,0.8345,1.0645,1.60125,3.1375,6.2075,13.0235,18.65625,
"job09","nh4f",,0.016235,0.0241,0.0330875,0.061325,0.106625,0.165435,0.21992,
"job09","no23f",,0.000256586899772271,0.00043310148607325,0.00114022496933167,0.0028,0.01595,0.0656,0.07095,
"job09","po4f",,0.000537067633921728,0.000849566018617352,0.00147009950014586,0.003325,0.010375,0.02118,0.030625,
"job10","chla",,0.665,0.82,1.015,1.46,2.265,3.445,4.965,
"job10","nh4f",,0.0222425,0.02532,0.0357875,0.061875,0.1131625,0.164365,0.21966,
"job10","no23f",,0.000476647905138108,0.000804312718873279,0.00164205414084717,0.0045,0.025675,0.06201,0.092345,
"job10","po4f",,0.000187894308060601,0.000309778447388539,0.000734383422622753,0.00156466237905407,0.0053,0.013,0.0202,
"job19","chla",,0.28025,0.3405,0.42125,0.57,0.83375,1.1225,1.26425,
"job19","nh4f",,0.00980982912945924,0.015285,0.0231,0.041525,0.098525,0.1482,0.21486,
"job19","no23f",,0.000196633492356454,0.000339490891432759,0.00106318490006015,0.00200138124934938,0.0109,0.04844,0.061925,
"job19","po4f",,0.000249086616287831,0.000389179902218476,0.000867278771634207,0.0018,0.006075,0.01426,0.022,
"job20","chla",,0.105472338224214,0.1565,0.22,0.3225,0.49125,0.6955,0.9135,
"job20","nh4f",,0.0123725,0.017445,0.027975,0.0462,0.1029125,0.147905,0.2230575,
"job20","no23f",,0.000251793093082051,0.000447097607108315,0.000973135651716001,0.00260594476299242,0.012175,0.051225,0.06285,
"job20","po4f",,0.000355228959542513,0.000553019238386376,0.00112798035354423,0.00206130478157187,0.0072,0.01414,0.02064,
"kachd","chla",,0.175,0.2175,0.41375,0.965,2.6375,4.32475,6.354125,
"kachd","nh4f",,0.00363348946315553,0.00499994380924259,0.00694498060137117,0.0206916666666667,0.03385,0.051075,0.06373,
"kachd","no23f",,0.0116787123624595,0.0183487972548249,0.047475,0.11385,0.18865,0.215953333333333,0.22912,
"kachd","po4f",,0.00941293834032284,0.01274,0.0225,0.0307,0.0363,0.04,0.0438,
"kachh","chla",,0.160590909090909,0.212022727272727,0.413045454545455,1.06909090909091,2.51056818181818,3.86212424242424,4.75763636363636,
"kachh","nh4f",,0.00876446944805889,0.00958069970140101,0.0135840514346095,0.0241791666666667,0.0346727272727273,0.0465818181818182,0.0564090909090909,
"kachh","no23f",,0.0166393557904593,0.0209807926918029,0.022564574628605,0.0965931818181818,0.186785416666667,0.213015909090909,0.22863,
"kachh","po4f",,0.006927498399933,0.00717889071757733,0.0127375,0.0261170454545455,0.0348590909090909,0.0399358441558442,0.0463741666666666,
"kachs","chla",,0.198,0.257333333333333,0.485,1.37,2.925,4.76933333333333,6.79133333333333,
"kachs","nh4f",,0.00275302710121641,0.00408111789868911,0.006,0.014,0.02725,0.03824,0.04688,
"kachs","no23f",,0.0062991995821559,0.00963504139328964,0.0173561704384879,0.0932666666666667,0.185075,0.208075,0.225720833333333,
"kachs","po4f",,0.0050375,0.00552676191475833,0.01085,0.024825,0.0336375,0.039475,0.043475,
"kacsd","chla",,0.2,0.25,0.53125,1.13,3.04125,6.0804,8.94475,
"kacsd","nh4f",,0.003005,0.00408550564352261,0.0063960484416212,0.01595,0.0284,0.038825,0.0507225,
"kacsd","no23f",,0.0203766339212183,0.0269960699323045,0.0730375,0.133275,0.190025,0.21681,0.23266,
"kacsd","po4f",,0.01286,0.0145,0.0215333333333333,0.029,0.0357,0.0411,0.04256,
"kacss","chla",,0.207,0.2718,0.53,1.45,3.01,6.125,8.6218,
"kacss","nh4f",,0.003935,0.00493443056742488,0.00756315990391486,0.017725,0.0272083333333333,0.03674,0.0482124999999999,
"kacss","no23f",,0.0136227867149311,0.0178023230182796,0.056025,0.127125,0.189483333333333,0.21621,0.23445,
"kacss","po4f",,0.00831666666666667,0.0106666666666667,0.017225,0.0267,0.034925,0.04065,0.0432916666666667,
"lksba","chla",,2.1,3.65,7.05,9.8,17.8,27.55,30.165,
"lksba","nh4f",,0.0067970846736086,0.00836296044081066,0.02225,0.046,0.093,0.14535,0.202175,
"lksba","no23f",,0.11205,0.1572,0.211,0.2735,0.359875,0.4711,0.48465,
"lksba","po4f",,0.00113572542928516,0.00173664319185349,0.00277471788291951,0.0065,0.0143125,0.02114,0.0267,
"lksbl","chla",,0.8995,1.8945,3.03125,4.72,9.92375,14.805,17.4275,
"lksbl","nh4f",,0.0492,0.0659,0.0885,0.1255,0.1835,0.2026,0.23,
"lksbl","no23f",,0.12605,0.1358,0.153625,0.21425,0.276875,0.31605,0.3621,
"lksbl","po4f",,0.00289404819962407,0.00311212440304697,0.00413925136234244,0.007,0.014,0.0205,0.023,
"lksol","chla",,0.5975,1.695,2.6375,3.85,6.44125,7.68,10.7525,
"lksol","nh4f",,0.00695642970773642,0.00748714135607994,0.0127478663374646,0.01925,0.0355,0.0437,0.0572999999999999,
"lksol","no23f",,0.00877658510411305,0.0116885270881794,0.02425,0.071,0.1335,0.17595,0.1875,
"lksol","po4f",,0.00252465612282426,0.00285739683684728,0.00404164394312946,0.00605929172406429,0.0126875,0.014915,0.016375,
"lkspo","chla",,0.689709141102746,1.008,1.6875,4.6375,7.65625,14.215,15.8325,
"lkspo","nh4f",,0.00371384460687956,0.0040090248530687,0.00751514179375137,0.0205,0.03825,0.05955,0.13675,
"lkspo","no23f",,0.00242226723952915,0.00327828581012405,0.006875,0.02325,0.04775,0.14465,0.249575,
"lkspo","po4f",,0.00561255158616284,0.00641329922144478,0.011125,0.0175,0.0277625,0.03597,0.037875,
"marab","chla",,1.815,2.56,4.125,5.6,7.9,11.77,14.735,
"marab","nh4f",,0.000294867277765966,0.000451428820915756,0.000980077177767735,0.00285,0.00835,0.016275,0.0358725,
"marab","no23f",,7.02469118390417e-05,0.000125600227685667,0.000393969661143484,0.00113730031821877,0.00625,0.02885,0.0542,
"marab","po4f",,0.002,0.0034,0.0085,0.01745,0.03385,0.0615,0.082,
"marce","chla",,1.655,2.04,3.65,5.95,9.2,11.65,14.15,
"marce","nh4f",,0.000308540662661357,0.000473840820868687,0.0010606757805453,0.0041,0.009575,0.028925,0.0351,
"marce","no23f",,0.000141707735842681,0.000236037095576159,0.000558292788406998,0.00136469811696684,0.006175,0.01946,0.02922,
"marce","po4f",,0.01235,0.01415,0.02155,0.0406,0.0605,0.0994,0.11565,
"marcw","chla",,1.84625,2.375,4.0375,6.1,8.875,13.15,14.9125,
"marcw","nh4f",,0.000229613246429101,0.000357090460129812,0.000782714037193686,0.00255,0.0070875,0.013325,0.02473,
"marcw","no23f",,6.68717108833297e-05,0.000128509500297385,0.00036002672319326,0.000973927176236199,0.005125,0.02706,0.0337799999999999,
"marcw","po4f",,0.00885,0.01125,0.0285,0.04125,0.074,0.13675,0.1473,
"marmb","chla",,2.15,2.88,4.19,6.15,10.2,14.87,16.57,
"marmb","nh4f",,0.0002399139834429,0.000389252277904788,0.000864965838282358,0.00275,0.0057,0.01465,0.03285,
"marmb","no23f",,0.000117185551190448,0.000195713987967117,0.000414591070704288,0.00126567551308695,0.0047283914675998,0.01991,0.0288999999999999,
"marmb","po4f",,0.0055,0.0096,0.0151,0.0225,0.038,0.06385,0.105,
"marsc","chla",,1.25,1.6132893234202,2.6525,4.1,6.175,7.835,9.0925,
"marsc","nh4f",,0.000514932194566246,0.000752211126630343,0.00134000628844866,0.0034,0.008875,0.01554,0.02074,
"marsc","no23f",,0.000141256565581418,0.000277694027836283,0.000586540576573819,0.00138269313130713,0.00715,0.01615,0.0315,
"marsc","po4f",,0.00107552628159226,0.00124151732488757,0.0028,0.00635,0.01855,0.0309,0.0382,
"narnc","chla",,0.4435,0.564,1.04125,1.675,2.86375,5.85450000000001,9.52325,
"narnc","nh4f",,0.0030075,0.00455497140944571,0.0111875,0.02035,0.05125,0.0869,0.12516,
"narnc","no23f",,0.000523599340631254,0.00093870379940978,0.00196454443428063,0.00442088659191149,0.011,0.037,0.0768150000000001,
"narnc","po4f",,0.0075,0.00896,0.014775,0.0295,0.05325,0.0846,0.09818,
"narpc","chla",,0.59775,0.9354,1.39,2.5175,4.35375,7.088,9.346,
"narpc","nh4f",,0.00199474219392745,0.00304750099135389,0.005,0.0145,0.0345,0.0775,0.1055,
"narpc","no23f",,0.00034038610246805,0.000744492004225448,0.00237681027457304,0.006,0.0614,0.16334,0.19377,
"narpc","po4f",,0.0025,0.00305167776106066,0.0065,0.0255,0.04275,0.05545,0.065355,
"nartb","chla",,0.608975,0.7696,1.12375,1.8765,3.13,4.7855,6.16,
"nartb","nh4f",,0.0019375,0.00292181543842201,0.004425,0.01195,0.028375,0.05,0.066375,
"nartb","no23f",,0.000285346448813895,0.000626378209425599,0.00176091214347988,0.00492056731279918,0.037125,0.105145,0.13645,
"nartb","po4f",,0.003,0.00383561810478173,0.008875,0.020425,0.032625,0.043,0.04667,
"narts","chla",,0.62105,0.8096,1.175,1.785,3.47,5.376,7.3225,
"narts","nh4f",,0.00139041697845345,0.00228298851580303,0.004,0.00815,0.0246,0.0493800000000001,0.0741,
"narts","no23f",,0.000156321575952063,0.000290582792428789,0.001025,0.00399637319954906,0.0495,0.1241,0.16495,
"narts","po4f",,0.0025,0.003,0.00615,0.01865,0.033125,0.044195,0.047525,
"nartw","chla",,,,,,,,,
"nartw","nh4f",,,,,,,,,
"nartw","no23f",,,,,,,,,
"nartw","po4f",,,,,,,,,
"niwcb","chla",,1.32125,1.565,2.6775,4.885,9.29996425,14.985,17.7908333333333,
"niwcb","nh4f",,0.01479,0.0221,0.034,0.050075,0.07235,0.09573,0.10781,
"niwcb","no23f",,0.00230083351122639,0.00319785298492545,0.0051,0.007,0.011275,0.0256725,0.0490824999999999,
"niwcb","po4f",,0.005835,0.0069475,0.009625,0.0132208333333333,0.01790625,0.0227975,0.02778,
"niwdc","chla",,1.2685,1.5918905,2.68,5.4875,9.28,14.179,16.1203333333333,
"niwdc","nh4f",,0.01613,0.01975,0.03115,0.0467,0.06505,0.08793,0.10465,
"niwdc","no23f",,0.00203892349994713,0.00285,0.00396875,0.00603333333333333,0.0089,0.0128225,0.01513375,
"niwdc","po4f",,0.0056175,0.0065,0.0094875,0.0125,0.015025,0.018435,0.020025,
"niwol","chla",,1.39525,1.78775,3.0425,7.2375,12.854824125,18.781,25.29695885,
"niwol","nh4f",,0.01861625,0.02255,0.031675,0.051625,0.0753375,0.11057,0.1314775,
"niwol","no23f",,0.00209787897605906,0.0029225,0.00389457885309022,0.0057875,0.0078625,0.01134,0.0138575,
"niwol","po4f",,0.007015,0.008255,0.0112,0.0151125,0.0197,0.0240725,0.02705,
"niwta","chla",,2.387,3.1885,4.6075,7.915,14.5225,28.117,36.1325,
"niwta","nh4f",,0.03408,0.04306,0.0601,0.09505,0.14185,0.21215,0.24925,
"niwta","no23f",,0.035825,0.0486125,0.086325,0.1351375,0.19535625,0.25445,0.2942375,
"niwta","po4f",,0.0151266666666667,0.018295,0.0269,0.036075,0.0535,0.07646,0.092775,
"nocec","chla",,1.162,1.62,3.17666666666667,7.13,13.22,20.106,27.174,
"nocec","nh4f",,0.00937010438021973,0.01355,0.027325,0.0491,0.082225,0.13545,0.16875,
"nocec","no23f",,0.00579079787801675,0.00803465786626338,0.0158593712532872,0.09075,0.162466666666667,0.255383333333333,0.3196,
"nocec","po4f",,0.0029,0.00357864371778065,0.008,0.0158,0.023525,0.03032,0.03789,
"noclc","chla",,0.59,0.866,1.5525,2.465,4.33875,7.079,8.76499999999999,
"noclc","nh4f",,0.00641131096125963,0.0089,0.0206333333333333,0.036,0.07275,0.1373,0.1946,
"noclc","no23f",,2.75333439650586e-05,6.28390917549776e-05,0.000233410809665866,0.000915079499864233,0.00438731497153991,0.02499,0.0407475,
"noclc","po4f",,0.000699729937230813,0.000947123476809923,0.00155675764463114,0.003,0.006225,0.01029,0.012235,
"nocrc","chla",,0.977,1.394,2.125,3.5,5.91692307692308,8.978,10.96,
"nocrc","nh4f",,0.007679066219845,0.00980631575796672,0.0235,0.03795,0.060375,0.11964,0.1594075,
"nocrc","no23f",,0.000108020874008452,0.000205329358158367,0.000647040201358887,0.00164702248357774,0.0066,0.02785,0.0486,
"nocrc","po4f",,0.000876406024147136,0.00116557729070207,0.00176929485475597,0.0033,0.0062,0.01159,0.01417,
"noczb","chla",,1.657,2.161,4.3025,9.26,19.9425,39.597,52.8809999999999,
"noczb","nh4f",,0.00823227616930769,0.0106442003915464,0.025025,0.0533,0.0966625,0.141316666666667,0.183275,
"noczb","no23f",,0.00466400742931904,0.006,0.0117447497439195,0.0653,0.161,0.22235,0.279725,
"noczb","po4f",,0.00436313797487501,0.0071,0.0145,0.0262,0.0396,0.05606,0.0797999999999999,
"owcbr","chla",,0.432665402965073,0.62725,0.9925,1.77,3.7725,6.632,8.25149999999998,
"owcbr","nh4f",,0.00787168449939004,0.0102919089816187,0.0186486786261521,0.03,0.047,0.074,0.10275,
"owcbr","no23f",,0.0832875,0.18545,0.457625,2.29925,3.47575,4.76125,5.557025,
"owcbr","po4f",,0.0053575,0.007,0.011375,0.0224375,0.0328625,0.04585,0.0670699999999999,
"owcdr","chla",,0.495479999177169,0.676,1.3125,3.665,12.49125,23.42875,31.3565,
"owcdr","nh4f",,0.00965,0.0146,0.02325,0.036,0.065625,0.11175,0.1698,
"owcdr","no23f",,0.0220064526983318,0.0529647455010042,0.298899139332819,1.86175,3.0795625,4.12145,4.5501625,
"owcdr","po4f",,0.0035175,0.00455,0.0074125,0.016,0.03085,0.05236,0.071635,
"owcol","chla",,1.535,2.012,4.85,17.355,35.9,53.979,70.7979,
"owcol","nh4f",,0.00834004025030842,0.0127,0.0365890312430352,0.0735,0.133,0.21355,0.29795,
"owcol","no23f",,0.0218594120446719,0.0239009150994275,0.0905122969625557,1.20975,2.5581875,3.68005,4.612375,
"owcol","po4f",,0.00191256543987256,0.0024931363692337,0.0046625,0.00925,0.014,0.0235275,0.0346325,
"owcsu","chla",,1.0035,1.283,2.56,5.805,12.06375,23.513,33.9875,
"owcsu","nh4f",,0.02075,0.0267,0.036125,0.054,0.074875,0.1014,0.228274999999999,
"owcsu","no23f",,0.187312208752903,0.3681,1.6675,3.098,4.5365,5.414,6.099625,
"owcsu","po4f",,0.00305,0.00488,0.009425,0.0194,0.029725,0.03964,0.0454825,
"owcwm","chla",,1.67675,2.281,6.26,15.5525,34.705,49.899,65.33,
"owcwm","nh4f",,0.0104131021502315,0.0140068478846286,0.0381380805772889,0.0808333333333333,0.1405,0.2154,0.337591666666667,
"owcwm","no23f",,0.0158283538289606,0.01905,0.0739311708554113,1.042,2.294,3.4674,3.9586375,
"owcwm","po4f",,0.001953,0.00257,0.0045625,0.00895,0.014575,0.0226675,0.032,
"pdbbp","chla",,0.4465,0.51775,0.914375,1.70916666666667,2.9075,4.7475,5.7295,
"pdbbp","nh4f",,0.0055,0.00709,0.011275,0.01745,0.023875,0.03327,0.0457899999999999,
"pdbbp","no23f",,0.00544438343506271,0.00767386155929807,0.0156390799704003,0.1218,0.3487,0.37803,0.387335,
"pdbbp","po4f",,0.02766,0.0323133333333333,0.04,0.0511,0.0652,0.07104,0.07387,
"pdbby","chla",,0.3705,0.4325,0.66625,1.9075,3.25125,5.04575,7.14425,
"pdbby","nh4f",,0.0049,0.00767,0.011725,0.015725,0.0244,0.03416,0.03962,
"pdbby","no23f",,0.0127605312899504,0.0223380358718475,0.066825,0.204625,0.35575,0.38725,0.39546,
"pdbby","po4f",,0.0329675,0.03708,0.04674375,0.057125,0.0685875,0.0735,0.07566,
"pdbgd","chla",,0.304125,0.3515,0.55,1.41125,2.915,4.4285,5.62725,
"pdbgd","nh4f",,0.00252648937752617,0.00349367496944349,0.00645,0.018,0.0291,0.0363666666666667,0.0408,
"pdbgd","no23f",,0.203015,0.21964,0.26345,0.315075,0.3777875,0.39304,0.397785,
"pdbgd","po4f",,0.047425,0.0509,0.0571,0.06425,0.06985,0.07475,0.075975,
"pdbgs","chla",,0.37,0.5,0.7475,1.78416666666667,4.93375,8.07175,11.96875,
"pdbgs","nh4f",,0.00250698994085966,0.00298,0.0059375,0.0115,0.0191,0.02667,0.03074,
"pdbgs","no23f",,0.0553848605515494,0.0649475,0.1489375,0.246966666666667,0.3644875,0.3911575,0.3986075,
"pdbgs","po4f",,0.01573,0.02741,0.04195,0.05565,0.06845,0.074,0.07565,
"pdbje","chla",,0.539,0.899,1.6,2.9,5.12,9.106,12.328,
"pdbje","nh4f",,0.06529,0.0963,0.21635,0.43885,0.6525,0.79005,0.82738,
"pdbje","no23f",,0.2466025,0.322535,0.431525,0.6796,1.1507125,1.84021,2.4038125,
"pdbje","po4f",,0.004485,0.00892,0.01495,0.0196,0.029525,0.04105,0.045365,
"pdbjl","chla",,0.50425,0.74125,1.31625,2.77875,4.831875,8.36375,18.41,
"pdbjl","nh4f",,0.0838125,0.126458333333333,0.2425125,0.445275,0.68856875,0.8887875,0.9247375,
"pdbjl","no23f",,0.2598,0.314975,0.4534,0.8056125,1.54611875,2.31855,2.8994,
"pdbjl","po4f",,0.0059475,0.00752,0.01235,0.017725,0.02865,0.03835,0.0444,
"pdbjt","chla",,,,,,,,,
"pdbjt","nh4f",,,,,,,,,
"pdbjt","no23f",,,,,,,,,
"pdbjt","po4f",,,,,,,,,
"rkbfb","chla",,1.58885667200326,2.0125,2.8125,4.6525,7.1525,10.465,12.492,
"rkbfb","nh4f",,0.00358890203869244,0.00417091882915497,0.00825,0.0265,0.0545,0.1,0.1345,
"rkbfb","no23f",,0.00121791553210263,0.0015793377948221,0.00276484607080614,0.0055,0.013,0.026,0.032,
"rkbfb","po4f",,0.004,0.005,0.008,0.01325,0.019875,0.027,0.036,
"rkbfu","chla",,1.25,1.55,2.05,2.65,3.7,4.96,6.1,
"rkbfu","nh4f",,0.00559842622369991,0.008,0.017125,0.03175,0.056,0.10015,0.135,
"rkbfu","no23f",,0.00372738050632267,0.00437271136125005,0.008,0.0165,0.0275,0.0372,0.04315,
"rkbfu","po4f",,0.00250956642404067,0.00376466628925444,0.007,0.0105,0.015,0.0199,0.02545,
"rkblh","chla",,1.337,1.65819351986827,2.50920777243696,4,6.33,9.84,14.618,
"rkblh","nh4f",,0.00402483056703382,0.00678910134887048,0.0115,0.022,0.058,0.1215,0.14,
"rkblh","no23f",,0.00126780907442328,0.00162485461472856,0.003,0.0065,0.01525,0.0284,0.03825,
"rkblh","po4f",,0.00257389977218399,0.0031962488324301,0.005,0.008,0.011,0.014,0.0185,
"rkbmb","chla",,1.149,1.484,2.15,3.445,4.83,7.366,9.85399999999999,
"rkbmb","nh4f",,0.00502722429091011,0.00762085221058065,0.01525,0.038,0.09825,0.16,0.18,
"rkbmb","no23f",,0.00252210539392618,0.00350960720210348,0.006,0.015,0.0275,0.0455833333333333,0.05125,
"rkbmb","po4f",,0.011,0.014,0.019,0.025,0.034,0.0425,0.05,
"rkbpb","chla",,1.55,1.775,2.65,3.825,6.0125,9.9,12.125,
"rkbpb","nh4f",,0.00795,0.011,0.02,0.0265,0.0555,0.0855,0.09575,
"rkbpb","no23f",,0.00151309297840254,0.00211644261811591,0.00347756688219047,0.006,0.0165,0.0253,0.0326,
"rkbpb","po4f",,0.0105,0.0123,0.0155,0.02,0.0265,0.0355,0.0422,
"sapca","chla",,3.426,3.882,5.72,8.66,13.75,18.7433333333334,22.17,
"sapca","nh4f",,0.0117268753011192,0.01774,0.02905,0.04695,0.078025,0.11358,0.148683333333333,
"sapca","no23f",,0.000593682924514176,0.000895981471348976,0.00189868687277601,0.00396235236744614,0.0109,0.02307,0.03173,
"sapca","po4f",,0.01501,0.02184,0.0373,0.05955,0.0822333333333333,0.11056,0.13192,
"sapdc","chla",,1.406,1.7555,2.45,4.0225,6.96875,12.357,15.12925,
"sapdc","nh4f",,0.0476025,0.066185,0.13185,0.238675,0.37165,0.50745,0.563215,
"sapdc","no23f",,0.00336150265687777,0.00451074266122593,0.00660269673396563,0.0175,0.0337375,0.056675,0.06869,
"sapdc","po4f",,0.04213,0.08085,0.1539125,0.23055,0.334025,0.43244,0.4699325,
"sapfd","chla",,1.18833333333333,1.72333333333333,3.3,7.25,14.45,24.3866666666667,26.245,
"sapfd","nh4f",,0.007625,0.00883333333333333,0.0129166666666667,0.02675,0.051,0.106666666666667,0.118333333333333,
"sapfd","no23f",,0.00245392939898895,0.00300996034309063,0.00414673310124179,0.006,0.0143333333333333,0.018,0.0196,
"sapfd","po4f",,0.0161333333333333,0.0200666666666667,0.026,0.0396666666666667,0.0658333333333333,0.115766666666667,0.155933333333333,
"saphd","chla",,1.7555,2.376,3.55,4.93333333333333,7.9,11.688,15.5485,
"saphd","nh4f",,0.00798281603217172,0.01116,0.0182375,0.0356,0.05875,0.088765,0.113975,
"saphd","no23f",,0.00106850014727928,0.00152403962197697,0.0026970346447841,0.00479347777068261,0.0104125,0.0186666666666667,0.0231083333333333,
"saphd","po4f",,0.01025,0.0137,0.02165,0.0324,0.0456,0.06025,0.0866666666666667,
"sapld","chla",,4.9975,5.65,7.29083333333333,9.4875,12.2175,16.685,19.0429166666667,
"sapld","nh4f",,0.00805833333333333,0.01155,0.0214333333333333,0.037,0.062175,0.101,0.115866666666667,
"sapld","no23f",,0.0023078258588735,0.00350603990931122,0.00543337333021476,0.0145,0.0347916666666667,0.06732,0.0847833333333333,
"sapld","po4f",,0.00715,0.01116,0.01875,0.0293333333333333,0.04325,0.0580933333333333,0.0772333333333333,
"sapml","chla",,3.87333333333333,4.01333333333333,5.82,8.46666666666667,12.46,16.0293333333333,17.3186666666667,
"sapml","nh4f",,0.00807,0.00904,0.017375,0.03135,0.085,0.124466666666667,0.14665,
"sapml","no23f",,0.00758479565035356,0.00919853832054304,0.0127183899407833,0.0336666666666667,0.0544166666666667,0.0765333333333333,0.08606,
"sapml","po4f",,0.0152166666666667,0.0164,0.0227,0.0351,0.0577,0.0889,0.15465,
"sfbcc","chla",,1.4975,2.8,4.2375,6.2,10.025,16.645,25.865,
"sfbcc","nh4f",,0.006,0.01066,0.03115,0.04745,0.0682,0.09095,0.11102,
"sfbcc","no23f",,0.0324875,0.040805,0.104925,0.229825,0.4157,0.49399,0.54002,
"sfbcc","po4f",,0.0589875,0.067925,0.0780375,0.093075,0.1082125,0.12505,0.131875,
"sfbfm","chla",,1.25,1.66,2.5,4.1,6.25,13.02,18.9,
"sfbfm","nh4f",,0.0171875,0.027105,0.045625,0.0734,0.10675,0.14979,0.158895,
"sfbfm","no23f",,0.4588,0.52435,0.6576,1.095975,1.33875,1.720025,1.8821375,
"sfbfm","po4f",,0.11855,0.12979,0.153675,0.216125,0.31885,0.369625,0.3925325,
"sfbgc","chla",,1.7,2.225,3.45625,5.2,7.975,12.325,17.15,
"sfbgc","nh4f",,0.0168,0.0225,0.04635,0.07235,0.1101,0.16205,0.1805,
"sfbgc","no23f",,0.01325,0.01925,0.0407,0.1414,0.3145,0.5799,0.5911,
"sfbgc","po4f",,0.0415,0.05489,0.0895,0.1209,0.1604,0.20293,0.21964,
"sfbsm","chla",,1.225,1.4,2.05,3.725,5.8625,10.05,15.525,
"sfbsm","nh4f",,0.01468,0.0186,0.03175,0.05315,0.0833,0.11907,0.15882,
"sfbsm","no23f",,0.15,0.24642,0.3264875,0.483575,0.56495,0.65802,0.70479,
"sfbsm","po4f",,0.048375,0.0564,0.0647625,0.0726375,0.0994125,0.1305,0.1604,
"sosbh","chla",,0.58125,0.798939393939394,1.30333333333333,2.29666666666667,4.80666666666667,9.6025,12.8691666666667,
"sosbh","nh4f",,0.00523303807574115,0.00658476075482564,0.0109440496251718,0.0197333333333333,0.0310916666666667,0.0451666666666667,0.0511666666666667,
"sosbh","no23f",,0.0286385036475098,0.0463166666666667,0.0993583333333333,0.1496,0.239616666666667,0.290333333333333,0.328616666666667,
"sosbh","po4f",,0.0142333333333333,0.0155,0.0198666666666667,0.0295,0.0406666666666667,0.0507,0.056,
"sosch","chla",,0.661666666666667,0.912333333333333,1.398,2.145,3.61458333333333,6.614,8.34391666666667,
"sosch","nh4f",,0.00819915636260492,0.0104139254427097,0.0193,0.0313333333333333,0.0471333333333333,0.0668883333333334,0.0827566666666667,
"sosch","no23f",,0.0185483333333333,0.0270071962178377,0.0763166666666667,0.122358333333333,0.202375,0.256613333333333,0.280693333333333,
"sosch","po4f",,0.016,0.0177516666666667,0.0223375,0.0318833333333333,0.043725,0.05111,0.0607491666666667,
"soscs","chla",,,,,,,,,
"soscs","nh4f",,,,,,,,,
"soscs","no23f",,,,,,,,,
"soscs","po4f",,,,,,,,,
"sosva","chla",,0.948333333333333,1.18033333333333,1.78,2.625,4.88208333333333,8.1975,10.68875,
"sosva","nh4f",,0.00841731726575008,0.0114473685095772,0.020505,0.03398,0.052,0.069887,0.0851833333333334,
"sosva","no23f",,0.0149325,0.0227295082243031,0.0608625,0.120733333333333,0.185120833333333,0.255616666666667,0.338328333333333,
"sosva","po4f",,0.0132683333333333,0.0145966666666667,0.0196625,0.0261666666666667,0.0414458333333333,0.0497966666666667,0.0553425,
"soswi","chla",,0.253833333333333,0.307333333333333,0.535833333333333,1.07333333333333,2.48283333333333,4.18333333333333,5.2948,
"soswi","nh4f",,0.0077325,0.009745,0.015025,0.0252666666666667,0.0480375,0.069515,0.0857025,
"soswi","no23f",,0.0338125,0.0419566666666667,0.0878458333333333,0.209633333333333,0.373920833333333,0.54005,0.614131666666667,
"soswi","po4f",,0.0021725,0.00283,0.00475416666666667,0.00824166666666667,0.0165375,0.0222933333333333,0.0264108333333333,
"tjrbr","chla",,0.235699649925142,0.328650962834648,0.6175,1.07333333333333,2.00875,5.6485,10.63725,
"tjrbr","nh4f",,0.01895,0.03,0.050375,0.10375,0.33275,1.66143,3.34146,
"tjrbr","no23f",,0.00216525903129442,0.00509158953805518,0.01,0.0208,0.06,0.1635,0.368622500000001,
"tjrbr","po4f",,0.037125,0.0423333333333333,0.058875,0.0988,0.253,0.7395,0.9832125,
"tjrhp","chla",,,,,,,,,
"tjrhp","nh4f",,,,,,,,,
